Year,Male,Female,WiteMale,WhiteFemale,"White Alone, Not HispanicMale","White Alone, Not HispanicFemale",BlackMale,BlackFemale,Asian Male,Asian Female,HispanicMale,HispanicFemale,white,black,asian,hispanic
2022,"70,340","48,550","72,000","48,590","77,280","51,170","52,750","43,750","90,590","61,880","50,180","36,710",60295,48250,76235,43445
2021,"73,960","49,380","76,660","49,870","82,330","52,510","51,540","44,240","92,340","58,590","52,260","37,360",63265,47890,75465,44810
2020,"73,190","48,680","75,760","49,140","81,790","51,840","51,150","43,210","91,120","58,480","49,990","35,730",62450,47180,74800,42860
2019,"74,200","49,340","76,990","49,770","82,990","52,510","51,370","43,240","91,530","60,780","50,450","36,470",63380,47305,76155,43460
2018,"70,720","46,010","73,510","46,660","79,050","48,780","47,790","39,440","87,750","55,790","48,860","35,940",60085,43615,71770,42400
2017 (40),"70,440","45,270","73,360","46,140","78,970","48,320","47,860","38,780","84,840","52,670","47,550","34,580",59750,43320,68755,41065
2017,"69,480","44,260","72,010","44,840","77,140","46,920","48,330","38,890","85,650","52,900","48,590","33,920",58425,43610,69275,41255
2016,"68,570","43,380","70,850","44,140","75,140","46,280","49,790","37,580","82,560","50,220","50,400","32,500",57495,43685,66390,41450
2015,"66,280","41,710","68,770","42,120","73,170","43,910","47,020","37,170","78,680","49,880","47,500","32,820",55445,42095,64280,40160
2014,"64,350","39,420","66,810","39,920","71,380","41,640","46,250","34,390","73,240","47,730","44,090","29,910",53365,40320,60485,37000
2013,"64,440","39,810","66,300","40,370","71,010","42,090","44,400","35,260","79,110","47,210","43,210","30,090",53335,39830,63160,36650
2013 (38),"62,300","39,220","64,660","40,030","69,150","41,730","44,310","33,360","71,440","45,000","41,930","29,840",52345,38835,58220,35885
2012,"61,980","38,950","64,340","39,520","68,800","41,200","42,520","34,140","72,160","46,200","41,660","29,140",51930,38330,59180,35400
2011,"61,950","38,670","64,480","39,250","69,130","40,830","42,920","34,540","68,760","43,720","40,470","29,500",51865,38730,56240,34985
2010,"61,430","38,820","63,990","39,360","68,220","40,890","41,880","34,350","68,880","44,760","41,090","29,510",51675,38115,56820,35300
2009,"61,910","39,320","63,820","39,780","68,120","41,170","43,790","34,540","75,960","47,680","40,910","30,250",51800,39165,61820,35580
2008,"62,910","38,320","65,200","38,670","69,350","40,080","43,580","34,450","72,040","45,540","42,860","29,070",51935,39015,58790,35965
2007,"64,380","39,950","66,890","40,210","71,180","41,450","44,260","36,900","72,930","48,380","43,290","30,940",53550,40580,60655,37115
2006,"65,390","39,810","67,680","40,080","71,960","41,410","45,150","36,300","78,690","48,550","44,030","30,370",53880,40725,63620,37200
2005,"64,650","37,860","67,120","38,190","71,310","39,360","44,230","34,460","72,140","44,680","42,960","29,340",52655,39345,58410,36150
2004,"63,530","37,120","65,730","37,490","69,540","38,610","44,310","33,470","72,400","43,730","43,360","28,920",51610,38890,58065,36140
2003,"63,070","37,450","65,420","37,850","69,280","39,030","43,890","34,010","67,760","42,260","42,150","28,660",51635,38950,55010,35405
2002,"63,720","36,660","66,090","36,940","69,840","38,040","44,540","34,260","69,690","40,750","42,910","28,220",51515,39400,55220,35565
