Name,1960,1970,1980,1990,2000,2010,2020
Alabama,64.5,76.9,79.8,79.8,87.8,94.4,99.2
Alaska,0.4,0.7,1,1,1.1,1.2,1.3
Arizona,11.5,23.9,32.3,32.3,45.2,56.3,62.9
Arkansas,34.3,43.9,45.2,45.2,51.4,56,57.9
California,100.9,151.9,191,191,217.4,239.1,253.7
Colorado,16.9,27.9,31.8,31.8,41.5,48.5,55.7
Connecticut,523.6,641.7,678.8,678.8,703.3,738.1,744.7
Delaware,229,305,341.9,341.9,402.1,460.8,508
District of Columbia,"12,513.90","10,456.20","9,941.30",9941.3,"9,370.60",9856.5,11280
Florida,92.3,181.8,241.3,241.3,298,350.6,401.4
Georgia,68.6,95,112.6,112.6,142.3,168.4,185.6
Hawaii,98.5,150.2,172.6,172.6,188.6,211.8,226.6
Idaho,8.1,11.4,12.2,12.2,15.7,19,22.3
Illinois,181.6,205.8,205.9,205.9,223.7,231.1,230.8
Indiana,130.1,153.2,154.8,154.8,169.7,181,189.4
Iowa,49.4,52.2,49.7,49.7,52.4,54.5,57.1
Kansas,26.6,28.9,30.3,30.3,32.9,34.9,35.9
Kentucky,76.9,92.7,93.3,93.3,102.4,109.9,114.1
Louisiana,75.4,97.3,97.7,97.7,103.4,104.9,107.8
Maine,31.4,36.5,39.8,39.8,41.3,43.1,44.2
Maryland,319.4,434.4,492.6,492.6,545.6,594.8,636.1
Massachusetts,660.1,735.5,771.3,771.3,814,839.4,901.2
Michigan,138.4,163.8,164.4,164.4,175.8,174.8,178
Minnesota,42.9,51.2,54.9,54.9,61.8,66.6,71.7
Mississippi,46.4,53.7,54.8,54.8,60.6,63.2,63.1
Missouri,62.8,71.5,74.4,74.4,81.4,87.1,89.5
Montana,4.6,5.4,5.5,5.5,6.2,6.8,7.4
Nebraska,18.4,20.4,20.5,20.5,22.3,23.8,25.5
Nevada,2.6,7.3,10.9,10.9,18.2,24.6,28.3
New Hampshire,67.8,102.8,123.9,123.9,138,147,153.8
New Jersey,824.9,"1,001.40","1,051.10",1051.1,"1,144.20",1195.5,1263
New Mexico,7.8,10.7,12.5,12.5,15,17,17.5
New York,356.1,372.6,381.7,381.7,402.7,411.2,428.7
North Carolina,93.7,121,136.3,136.3,165.6,196.1,214.7
North Dakota,9.2,9.5,9.3,9.3,9.3,9.7,11.3
Ohio,237.5,264.3,265.5,265.5,277.8,282.3,288.8
Oklahoma,33.9,44.1,45.9,45.9,50.3,54.7,57.7
Oregon,18.4,27.4,29.6,29.6,35.6,39.9,44.1
Pennsylvania,253,265.2,265.6,265.6,274.5,283.9,290.6
Puerto Rico,686.2,933.6,"1,028.70",1028.7,"1,112.40",1088.2,959.6
Rhode Island,831.4,916.2,970.6,970.6,"1,014.00",1018.1,1061.4
South Carolina,79.3,103.9,116,116,133.5,153.9,170.2
South Dakota,9,9.1,9.2,9.2,10,10.7,11.7
Tennessee,86.5,111.3,118.3,118.3,138,153.9,167.6
Texas,36.7,54.5,65,65,79.8,96.3,111.6
Utah,10.8,17.8,21,21,27.2,33.6,39.7
Vermont,42.3,55.5,61.1,61.1,66.1,67.9,69.8
Virginia,100.5,135.4,156.7,156.7,179.2,202.6,218.6
Washington,42.9,62.2,73.2,73.2,88.7,101.2,115.9
West Virginia,77.4,81.1,74.6,74.6,75.2,77.1,74.6
Wisconsin,73,86.9,90.3,90.3,99,105,108.8
Wyoming,3.4,4.8,4.7,4.7,5.1,5.3,5.9
